"tp_med","ttc","metal"
0,1.00015127313496,"Zinc"
0.01,1.00930272764794,"Zinc"
0.02,1.01845342708354,"Zinc"
0.03,1.02760247234481,"Zinc"
0.04,1.03674896433482,"Zinc"
0.05,1.04589200395666,"Zinc"
0.06,1.05503069211338,"Zinc"
0.07,1.06416412970807,"Zinc"
0.08,1.07329141764379,"Zinc"
0.09,1.08241165682361,"Zinc"
0.1,1.0915239481506,"Zinc"
0.11,1.10062739252785,"Zinc"
0.12,1.1097210908584,"Zinc"
0.13,1.11880414404535,"Zinc"
0.14,1.12787565299175,"Zinc"
0.15,1.13693471860069,"Zinc"
0.16,1.14598044177523,"Zinc"
0.17,1.15501192341844,"Zinc"
0.18,1.16402826443339,"Zinc"
0.19,1.17302856572316,"Zinc"
0.2,1.18201192819081,"Zinc"
0.21,1.19097745273942,"Zinc"
0.22,1.19992424027206,"Zinc"
0.23,1.2088513916918,"Zinc"
0.24,1.21775800790171,"Zinc"
0.25,1.22664318980487,"Zinc"
0.26,1.23550603830433,"Zinc"
0.27,1.24434565430318,"Zinc"
0.28,1.25316113870449,"Zinc"
0.29,1.26195159241132,"Zinc"
0.3,1.27071611632675,"Zinc"
0.31,1.27945381135385,"Zinc"
0.32,1.28816377839569,"Zinc"
0.33,1.29684511835534,"Zinc"
0.34,1.30549693213587,"Zinc"
0.35,1.31411832064036,"Zinc"
0.36,1.32270838477187,"Zinc"
0.37,1.33126622543348,"Zinc"
0.38,1.33979094352826,"Zinc"
0.39,1.34828163995927,"Zinc"
0.4,1.35673741562959,"Zinc"
0.41,1.3651573714423,"Zinc"
0.42,1.37354060830045,"Zinc"
0.43,1.38188622710713,"Zinc"
0.44,1.39019332876541,"Zinc"
0.45,1.39846101417834,"Zinc"
0.46,1.40668838424902,"Zinc"
0.47,1.4148745398805,"Zinc"
0.48,1.42301858197586,"Zinc"
0.49,1.43111961143818,"Zinc"
0.5,1.43917672917051,"Zinc"
0.51,1.44718903607594,"Zinc"
0.52,1.45515563305753,"Zinc"
0.53,1.46307562101835,"Zinc"
0.54,1.47094810086148,"Zinc"
0.55,1.47877217348999,"Zinc"
0.56,1.48654693980695,"Zinc"
0.57,1.49427150071542,"Zinc"
0.58,1.50194495711849,"Zinc"
0.59,1.50956640991922,"Zinc"
0.6,1.51713496002068,"Zinc"
0.61,1.52464970832595,"Zinc"
0.62,1.53210975573809,"Zinc"
0.63,1.53951420316018,"Zinc"
0.64,1.54686215149528,"Zinc"
0.65,1.55415270164648,"Zinc"
0.66,1.56138495451683,"Zinc"
0.67,1.56855801100942,"Zinc"
0.68,1.57567097202731,"Zinc"
0.69,1.58272293847357,"Zinc"
0.7,1.58971301125127,"Zinc"
0.71,1.5966402912635,"Zinc"
0.72,1.60350387941331,"Zinc"
0.73,1.61030287660378,"Zinc"
0.74,1.61703638373797,"Zinc"
0.75,1.62370350171897,"Zinc"
0.76,1.63030333144984,"Zinc"
0.77,1.63683497383366,"Zinc"
0.78,1.64329752977348,"Zinc"
0.79,1.6496901001724,"Zinc"
0.8,1.65601178593346,"Zinc"
0.81,1.66226168795976,"Zinc"
0.82,1.66843890715436,"Zinc"
0.83,1.67454254442032,"Zinc"
0.84,1.68057170066073,"Zinc"
0.85,1.68652547677865,"Zinc"
0.86,1.69240297367715,"Zinc"
0.87,1.69820329225931,"Zinc"
0.88,1.70392553342819,"Zinc"
0.89,1.70956879808687,"Zinc"
0.9,1.71513218713842,"Zinc"
0.91,1.72061480148591,"Zinc"
0.92,1.72601574203241,"Zinc"
0.93,1.73133410968099,"Zinc"
0.94,1.73656900533473,"Zinc"
0.95,1.74171952989668,"Zinc"
0.96,1.74678478426994,"Zinc"
0.97,1.75176386935756,"Zinc"
0.98,1.75665588606261,"Zinc"
0.99,1.76145993528818,"Zinc"
1,1.76617511793732,"Zinc"
1.01,1.7708007545404,"Zinc"
1.02,1.77533704413689,"Zinc"
1.03,1.77978440539355,"Zinc"
1.04,1.78414325697714,"Zinc"
1.05,1.78841401755442,"Zinc"
1.06,1.79259710579214,"Zinc"
1.07,1.79669294035707,"Zinc"
1.08,1.80070193991597,"Zinc"
1.09,1.8046245231356,"Zinc"
1.1,1.80846110868271,"Zinc"
1.11,1.81221211522406,"Zinc"
1.12,1.81587796142642,"Zinc"
1.13,1.81945906595655,"Zinc"
1.14,1.82295584748119,"Zinc"
1.15,1.82636872466712,"Zinc"
1.16,1.82969811618109,"Zinc"
1.17,1.83294444068986,"Zinc"
1.18,1.83610811686019,"Zinc"
1.19,1.83918956335884,"Zinc"
1.2,1.84218919885257,"Zinc"
1.21,1.84510744200814,"Zinc"
1.22,1.84794471149231,"Zinc"
1.23,1.85070142597183,"Zinc"
1.24,1.85337800411347,"Zinc"
1.25,1.85597486458399,"Zinc"
