spp,comm_name,metal,TL,TL_sd,ttc,reference
Hexanchus griseus,Bluntnose sixgill shark ,Arsenic,4.5,0.2,20.9,Suedel et al 1994
Sebastes entomelas,widow rockfish,Arsenic,3.7,0.3,0.3,LeBlanc and Jackson 1973
Hexanchus griseus,Bluntnose sixgill shark ,Arsenic,4.5,0.2,10,LeBlanc and Jackson 1973
Patella vulgata,limpet,Arsenic,1,NA,0.2,Klump and Peterson 1979
Carcinus maenas,green crab,Arsenic,2,NA,2.3,Klump and Peterson 1979
Acanthephyra eximia,shrimp,Arsenic,2,NA,0.7,Leatherland et al 1973
Diaphus dumerili,headlightfish,Arsenic,3,NA,0.1,Leatherland et al 1973
Hexagrammos sp.,greenling,Arsenic,2,NA,0.3,LeBlanc and Jackson 1973
Hydrolagus colliei,spotted ratfish,Arsenic,3.7,0.54,15.2,LeBlanc and Jackson 1973
Moina macrocopa,zooplankton,Arsenic,1,NA,0.1,Maeda et al 1990
Carassius auratus,goldfish,Arsenic,2,0,0.2,Maeda et al 1990
Artemia sp.,Brine shrimp,Arsenic,1,NA,0.2,Lindsay and Sanders 1990
Palaemonetes pugio,grass shrimp,Arsenic,2,NA,0.4,Lindsay and Sanders 1990
Carpiodes cyprinus,quilback,Cadmium,2.6,0.27,0.04,Mathis and Cummings 1973
Micropterus dolomieu,smallmouth bass,Cadmium,3.6,0.2,0.8,Mathis and Cummings 1973
Patella vulgata,limpet,Cadmium,1,NA,24.6,Klump and Peterson 1979
Helotes sexlineatus,Eastern striped grunter,Cadmium,2,0,0.4,Ward et al 1986
Platichthyes flesus,flounder,Cadmium,3.3,0.2,0.1,Hardisty et al 1974
Etheostoma flabellare,fantail darter,Cadmium,3.2,0.39,0.1,Enk and Mathis 1977
Micropterus dolomieu,smallmouth bass,Cadmium,3.6,0.2,0.9,Enk and Mathis 1977
NA,omnivorous fish,Cadmium,3,NA,1.1,Ward et al 1986
Carcinus maenas,littoral crab,Cadmium,2,NA,0.01,Klump and Peterson 1979
Acanthephyra eximia,shrimp,Cadmium,2,NA,2.4,Leatherland et al 1973
Diaphus dumerili,headlightfish,Cadmium,3,0,0.1,Leatherland et al 1973
Littorina littoralis,periwinkle,Cadmium,1,NA,4.5,Bryan and Langston 1992
Littorina littoralis,periwinkle,Cadmium,1,NA,4.7,Bryan and Langston 1992
Littorina littoralis,periwinkle,Cadmium,1,NA,5.8,Bryan and Langston 1992
Nucella lapillus,Dogwinkle,Cadmium,2,NA,9.4,Bryan and Langston 1992
Nucella lapillus,Dogwinkle,Cadmium,2,NA,4.9,Bryan and Langston 1992
Nucella lapillus,Dogwinkle,Cadmium,2,NA,4.1,Bryan and Langston 1992
Carpiodes cyprinus,quilback,Copper,2.6,0.27,0.02,Mathis and Cummings 1973
