sample_id	if_comb_sample_id	completed	sample_mass_g	date_mdy	species_code	test_requested
SOTE05282014FL3	NA	Y	0.71	8/3/18	SOTE	8071 heavy metal screen
SOTE05282014FL4	NA	Y	0.53	8/3/18	SOTE	8071 heavy metal screen
SOTE05282014FL6	NA	Y	0.5	8/3/18	SOTE	8071 heavy metal screen
SOTE05282014FL7	NA	Y	0.78	8/3/18	SOTE	8071 heavy metal screen
SOTE05282014FL8	NA	Y	0.71	8/3/18	SOTE	8071 heavy metal screen
SOTE05282014FL9	NA	Y	0.75	8/3/18	SOTE	8071 heavy metal screen
SOTE05282014FL10	NA	Y	0.75	8/3/18	SOTE	8071 heavy metal screen
SOTE05282014FL11	NA	Y	0.89	8/3/18	SOTE	8071 heavy metal screen
SOTE12052015ROSE1	NA	Y	0.1	8/10/18	SOTE	8071 heavy metal screen
BLNO12022015ROSE1	NA	Y	0.1	8/10/18	BLNO	8071 heavy metal screen
BRNO12022015ROSE1	NA	Y	0.1	8/10/18	BRNO	8071 heavy metal screen
BRNO12022015ROSE2	NA	Y	0.1	8/10/18	BRNO	8071 heavy metal screen
