"","year","spp","metal","corrected_conc","source"
"1",1891,"BRBO","Arsenic",NA,"cambell"
"2",1892,"BRBO","Arsenic",NA,"cambell"
"3",1893,"BRBO","Arsenic",NA,"cambell"
"4",1894,"BRBO","Arsenic",NA,"cambell"
"5",1895,"BRBO","Arsenic",NA,"cambell"
"6",1896,"BRBO","Arsenic",NA,"cambell"
"7",1897,"BRBO","Arsenic",NA,"cambell"
"8",1898,"BRBO","Arsenic",NA,"cambell"
"9",1899,"BRBO","Arsenic",NA,"cambell"
"10",1900,"BRBO","Arsenic",NA,"cambell"
"11",1901,"BRBO","Arsenic",NA,"cambell"
"12",1902,"BRBO","Arsenic",NA,"cambell"
"13",1903,"BRBO","Arsenic",NA,"cambell"
"14",1904,"BRBO","Arsenic",NA,"cambell"
"15",1905,"BRBO","Arsenic",NA,"cambell"
"16",1906,"BRBO","Arsenic",NA,"cambell"
"17",1907,"BRBO","Arsenic",NA,"cambell"
"18",1908,"BRBO","Arsenic",NA,"cambell"
"19",1909,"BRBO","Arsenic",NA,"cambell"
"20",1910,"BRBO","Arsenic",NA,"cambell"
"21",1911,"BRBO","Arsenic",NA,"cambell"
"22",1912,"BRBO","Arsenic",NA,"cambell"
"23",1913,"BRBO","Arsenic",NA,"cambell"
"24",1914,"BRBO","Arsenic",NA,"cambell"
"25",1915,"BRBO","Arsenic",NA,"cambell"
"26",1916,"BRBO","Arsenic",NA,"cambell"
"27",1917,"BRBO","Arsenic",NA,"cambell"
"28",1918,"BRBO","Arsenic",NA,"cambell"
"29",1919,"BRBO","Arsenic",NA,"cambell"
"30",1920,"BRBO","Arsenic",NA,"cambell"
"31",1921,"BRBO","Arsenic",NA,"cambell"
"32",1922,"BRBO","Arsenic",NA,"cambell"
"33",1923,"BRBO","Arsenic",NA,"cambell"
"34",1924,"BRBO","Arsenic",NA,"cambell"
"35",1925,"BRBO","Arsenic",NA,"cambell"
"36",1926,"BRBO","Arsenic",NA,"cambell"
"37",1927,"BRBO","Arsenic",NA,"cambell"
"38",1928,"BRBO","Arsenic",NA,"cambell"
"39",1929,"BRBO","Arsenic",NA,"cambell"
"40",1930,"BRBO","Arsenic",NA,"cambell"
"41",1931,"BRBO","Arsenic",NA,"cambell"
"42",1932,"BRBO","Arsenic",NA,"cambell"
"43",1933,"BRBO","Arsenic",NA,"cambell"
"44",1934,"BRBO","Arsenic",NA,"cambell"
"45",1935,"BRBO","Arsenic",NA,"cambell"
"46",1936,"BRBO","Arsenic",NA,"cambell"
"47",1937,"BRBO","Arsenic",NA,"cambell"
"48",1938,"BRBO","Arsenic",NA,"cambell"
"49",1939,"BRBO","Arsenic",NA,"cambell"
"50",1940,"BRBO","Arsenic",NA,"cambell"
"51",1941,"BRBO","Arsenic",NA,"cambell"
"52",1942,"BRBO","Arsenic",NA,"cambell"
"53",1943,"BRBO","Arsenic",NA,"cambell"
"54",1944,"BRBO","Arsenic",NA,"cambell"
"55",1945,"BRBO","Arsenic",NA,"cambell"
"56",1946,"BRBO","Arsenic",NA,"cambell"
