"","year","spp","metal","corrected_conc","source"
"1",1891,"BRBO","Arsenic",NA,"sueddel"
"2",1892,"BRBO","Arsenic",NA,"sueddel"
"3",1893,"BRBO","Arsenic",NA,"sueddel"
"4",1894,"BRBO","Arsenic",NA,"sueddel"
"5",1895,"BRBO","Arsenic",NA,"sueddel"
"6",1896,"BRBO","Arsenic",NA,"sueddel"
"7",1897,"BRBO","Arsenic",NA,"sueddel"
"8",1898,"BRBO","Arsenic",NA,"sueddel"
"9",1899,"BRBO","Arsenic",NA,"sueddel"
"10",1900,"BRBO","Arsenic",NA,"sueddel"
"11",1901,"BRBO","Arsenic",NA,"sueddel"
"12",1902,"BRBO","Arsenic",NA,"sueddel"
"13",1903,"BRBO","Arsenic",NA,"sueddel"
"14",1904,"BRBO","Arsenic",NA,"sueddel"
"15",1905,"BRBO","Arsenic",NA,"sueddel"
"16",1906,"BRBO","Arsenic",NA,"sueddel"
"17",1907,"BRBO","Arsenic",NA,"sueddel"
"18",1908,"BRBO","Arsenic",NA,"sueddel"
"19",1909,"BRBO","Arsenic",NA,"sueddel"
"20",1910,"BRBO","Arsenic",NA,"sueddel"
"21",1911,"BRBO","Arsenic",NA,"sueddel"
"22",1912,"BRBO","Arsenic",NA,"sueddel"
"23",1913,"BRBO","Arsenic",NA,"sueddel"
"24",1914,"BRBO","Arsenic",NA,"sueddel"
"25",1915,"BRBO","Arsenic",NA,"sueddel"
"26",1916,"BRBO","Arsenic",NA,"sueddel"
"27",1917,"BRBO","Arsenic",NA,"sueddel"
"28",1918,"BRBO","Arsenic",NA,"sueddel"
"29",1919,"BRBO","Arsenic",NA,"sueddel"
"30",1920,"BRBO","Arsenic",NA,"sueddel"
"31",1921,"BRBO","Arsenic",NA,"sueddel"
"32",1922,"BRBO","Arsenic",NA,"sueddel"
"33",1923,"BRBO","Arsenic",NA,"sueddel"
"34",1924,"BRBO","Arsenic",NA,"sueddel"
"35",1925,"BRBO","Arsenic",NA,"sueddel"
"36",1926,"BRBO","Arsenic",NA,"sueddel"
"37",1927,"BRBO","Arsenic",NA,"sueddel"
"38",1928,"BRBO","Arsenic",NA,"sueddel"
"39",1929,"BRBO","Arsenic",NA,"sueddel"
"40",1930,"BRBO","Arsenic",NA,"sueddel"
"41",1931,"BRBO","Arsenic",NA,"sueddel"
"42",1932,"BRBO","Arsenic",NA,"sueddel"
"43",1933,"BRBO","Arsenic",NA,"sueddel"
"44",1934,"BRBO","Arsenic",NA,"sueddel"
"45",1935,"BRBO","Arsenic",NA,"sueddel"
"46",1936,"BRBO","Arsenic",NA,"sueddel"
"47",1937,"BRBO","Arsenic",NA,"sueddel"
"48",1938,"BRBO","Arsenic",NA,"sueddel"
"49",1939,"BRBO","Arsenic",NA,"sueddel"
"50",1940,"BRBO","Arsenic",NA,"sueddel"
"51",1941,"BRBO","Arsenic",NA,"sueddel"
"52",1942,"BRBO","Arsenic",NA,"sueddel"
"53",1943,"BRBO","Arsenic",NA,"sueddel"
"54",1944,"BRBO","Arsenic",NA,"sueddel"
"55",1945,"BRBO","Arsenic",NA,"sueddel"
"56",1946,"BRBO","Arsenic",NA,"sueddel"
"57",1947,"BRBO","Arsenic",NA,"sueddel"
"58",1948,"BRBO","Arsenic",NA,"sueddel"
"59",1949,"BRBO","Arsenic",NA,"sueddel"
"60",1950,"BRBO","Arsenic",NA,"sueddel"
"61",1951,"BRBO","Arsenic",NA,"sueddel"
"62",1952,"BRBO","Arsenic",NA,"sueddel"
"63",1953,"BRBO","Arsenic",NA,"sueddel"
"64",1954,"BRBO","Arsenic",NA,"sueddel"
"65",1955,"BRBO","Arsenic",NA,"sueddel"
"66",1956,"BRBO","Arsenic",NA,"sueddel"
"67",1957,"BRBO","Arsenic",NA,"sueddel"
"68",1958,"BRBO","Arsenic",NA,"sueddel"
"69",1959,"BRBO","Arsenic",NA,"sueddel"
"70",1960,"BRBO","Arsenic",NA,"sueddel"
"71",1961,"BRBO","Arsenic",NA,"sueddel"
"72",1962,"BRBO","Arsenic",NA,"sueddel"
"73",1963,"BRBO","Arsenic",NA,"sueddel"
"74",1964,"BRBO","Arsenic",NA,"sueddel"
"75",1965,"BRBO","Arsenic",NA,"sueddel"
"76",1966,"BRBO","Arsenic",NA,"sueddel"
"77",1967,"BRBO","Arsenic",NA,"sueddel"
"78",1968,"BRBO","Arsenic",NA,"sueddel"
"79",1969,"BRBO","Arsenic",NA,"sueddel"
"80",1970,"BRBO","Arsenic",NA,"sueddel"
"81",1971,"BRBO","Arsenic",NA,"sueddel"
"82",1972,"BRBO","Arsenic",NA,"sueddel"
"83",1973,"BRBO","Arsenic",NA,"sueddel"
"84",1974,"BRBO","Arsenic",NA,"sueddel"
"85",1975,"BRBO","Arsenic",NA,"sueddel"
"86",1976,"BRBO","Arsenic",NA,"sueddel"
"87",1977,"BRBO","Arsenic",NA,"sueddel"
"88",1978,"BRBO","Arsenic",NA,"sueddel"
"89",1979,"BRBO","Arsenic",NA,"sueddel"
"90",1980,"BRBO","Arsenic",NA,"sueddel"
"91",1981,"BRBO","Arsenic",NA,"sueddel"
"92",1982,"BRBO","Arsenic",NA,"sueddel"
"93",1983,"BRBO","Arsenic",NA,"sueddel"
"94",1984,"BRBO","Arsenic",NA,"sueddel"
"95",1985,"BRBO","Arsenic",NA,"sueddel"
"96",1986,"BRBO","Arsenic",NA,"sueddel"
"97",1987,"BRBO","Arsenic",NA,"sueddel"
"98",1988,"BRBO","Arsenic",NA,"sueddel"
"99",1989,"BRBO","Arsenic",NA,"sueddel"
"100",1990,"BRBO","Arsenic",NA,"sueddel"
"101",1991,"BRBO","Arsenic",NA,"sueddel"
"102",1992,"BRBO","Arsenic",NA,"sueddel"
"103",1993,"BRBO","Arsenic",NA,"sueddel"
"104",1994,"BRBO","Arsenic",NA,"sueddel"
"105",1995,"BRBO","Arsenic",NA,"sueddel"
"106",1996,"BRBO","Arsenic",NA,"sueddel"
"107",1997,"BRBO","Arsenic",NA,"sueddel"
"108",1998,"BRBO","Arsenic",NA,"sueddel"
"109",1999,"BRBO","Arsenic",2.61750797844646,"sueddel"
"110",2000,"BRBO","Arsenic",2.44652560243504,"sueddel"
"111",2001,"BRBO","Arsenic",2.29049288024577,"sueddel"
"112",2002,"BRBO","Arsenic",2.11838720000467,"sueddel"
"113",2003,"BRBO","Arsenic",1.94628151976357,"sueddel"
"114",2004,"BRBO","Arsenic",1.7858879765832,"sueddel"
"115",2005,"BRBO","Arsenic",1.61264614891465,"sueddel"
"116",2006,"BRBO","Arsenic",1.44895237607569,"sueddel"
"117",2007,"BRBO","Arsenic",1.2745613768749,"sueddel"
"118",2008,"BRBO","Arsenic",1.10750341386747,"sueddel"
"119",2009,"BRBO","Arsenic",0.938191800450565,"sueddel"
"120",2010,"BRBO","Arsenic",0.761462647342435,"sueddel"
"121",2011,"BRBO","Arsenic",0.588668658146234,"sueddel"
"122",2012,"BRBO","Arsenic",0.413527758801241,"sueddel"
"123",2013,"BRBO","Arsenic",0.234406109267014,"sueddel"
"124",2014,"BRBO","Arsenic",0.0556601113982382,"sueddel"
"125",2015,"BRBO","Arsenic",0.212952523131584,"sueddel"
"126",1891,"BRBO","Cadmium",25,"sueddel"
"127",1892,"BRBO","Cadmium",25.0862068965517,"sueddel"
"128",1893,"BRBO","Cadmium",25.1724137931034,"sueddel"
"129",1894,"BRBO","Cadmium",25.2586206896552,"sueddel"
"130",1895,"BRBO","Cadmium",25.3448275862069,"sueddel"
"131",1896,"BRBO","Cadmium",25.4310344827586,"sueddel"
"132",1897,"BRBO","Cadmium",25.5172413793103,"sueddel"
"133",1898,"BRBO","Cadmium",25.6034482758621,"sueddel"
"134",1899,"BRBO","Cadmium",25.6896551724138,"sueddel"
"135",1900,"BRBO","Cadmium",25.7758620689655,"sueddel"
"136",1901,"BRBO","Cadmium",25.8620689655172,"sueddel"
"137",1902,"BRBO","Cadmium",25.948275862069,"sueddel"
"138",1903,"BRBO","Cadmium",26.0344827586207,"sueddel"
"139",1904,"BRBO","Cadmium",26.1206896551724,"sueddel"
"140",1905,"BRBO","Cadmium",26.2068965517241,"sueddel"
"141",1906,"BRBO","Cadmium",26.2931034482759,"sueddel"
"142",1907,"BRBO","Cadmium",26.3793103448276,"sueddel"
"143",1908,"BRBO","Cadmium",26.4655172413793,"sueddel"
"144",1909,"BRBO","Cadmium",26.551724137931,"sueddel"
"145",1910,"BRBO","Cadmium",26.6379310344828,"sueddel"
"146",1911,"BRBO","Cadmium",26.7241379310345,"sueddel"
"147",1912,"BRBO","Cadmium",26.8103448275862,"sueddel"
"148",1913,"BRBO","Cadmium",26.8965517241379,"sueddel"
"149",1914,"BRBO","Cadmium",26.9827586206897,"sueddel"
"150",1915,"BRBO","Cadmium",27.0689655172414,"sueddel"
"151",1916,"BRBO","Cadmium",27.1551724137931,"sueddel"
"152",1917,"BRBO","Cadmium",27.2413793103448,"sueddel"
"153",1918,"BRBO","Cadmium",27.3275862068966,"sueddel"
"154",1919,"BRBO","Cadmium",27.4137931034483,"sueddel"
"155",1920,"BRBO","Cadmium",27.5,"sueddel"
"156",1921,"BRBO","Cadmium",27.5862068965517,"sueddel"
"157",1922,"BRBO","Cadmium",27.6724137931034,"sueddel"
"158",1923,"BRBO","Cadmium",27.7586206896552,"sueddel"
"159",1924,"BRBO","Cadmium",27.8448275862069,"sueddel"
"160",1925,"BRBO","Cadmium",27.9310344827586,"sueddel"
"161",1926,"BRBO","Cadmium",28.0172413793103,"sueddel"
"162",1927,"BRBO","Cadmium",28.1034482758621,"sueddel"
"163",1928,"BRBO","Cadmium",28.1896551724138,"sueddel"
"164",1929,"BRBO","Cadmium",28.2758620689655,"sueddel"
"165",1930,"BRBO","Cadmium",28.3620689655172,"sueddel"
"166",1931,"BRBO","Cadmium",28.448275862069,"sueddel"
"167",1932,"BRBO","Cadmium",28.5344827586207,"sueddel"
"168",1933,"BRBO","Cadmium",28.6206896551724,"sueddel"
"169",1934,"BRBO","Cadmium",28.7068965517241,"sueddel"
"170",1935,"BRBO","Cadmium",28.7931034482759,"sueddel"
"171",1936,"BRBO","Cadmium",28.8793103448276,"sueddel"
"172",1937,"BRBO","Cadmium",28.9655172413793,"sueddel"
"173",1938,"BRBO","Cadmium",29.051724137931,"sueddel"
"174",1939,"BRBO","Cadmium",29.1379310344828,"sueddel"
"175",1940,"BRBO","Cadmium",29.2241379310345,"sueddel"
"176",1941,"BRBO","Cadmium",29.3103448275862,"sueddel"
"177",1942,"BRBO","Cadmium",29.3965517241379,"sueddel"
"178",1943,"BRBO","Cadmium",29.4827586206897,"sueddel"
"179",1944,"BRBO","Cadmium",29.5689655172414,"sueddel"
"180",1945,"BRBO","Cadmium",29.6551724137931,"sueddel"
"181",1946,"BRBO","Cadmium",29.7413793103448,"sueddel"
"182",1947,"BRBO","Cadmium",29.8275862068965,"sueddel"
"183",1948,"BRBO","Cadmium",29.9137931034483,"sueddel"
"184",1949,"BRBO","Cadmium",30,"sueddel"
"185",1950,"BRBO","Cadmium",29.6666666666667,"sueddel"
"186",1951,"BRBO","Cadmium",29.3333333333333,"sueddel"
"187",1952,"BRBO","Cadmium",29,"sueddel"
"188",1953,"BRBO","Cadmium",28.6666666666667,"sueddel"
"189",1954,"BRBO","Cadmium",28.3333333333333,"sueddel"
"190",1955,"BRBO","Cadmium",28,"sueddel"
"191",1956,"BRBO","Cadmium",27.6666666666667,"sueddel"
"192",1957,"BRBO","Cadmium",27.3333333333333,"sueddel"
"193",1958,"BRBO","Cadmium",27,"sueddel"
"194",1959,"BRBO","Cadmium",26.6666666666667,"sueddel"
