"tp_med","ttc","metal"
0,0.999235091209771,"Zinc"
0.01,0.998855373946353,"Zinc"
0.02,0.998475808036516,"Zinc"
0.03,0.99809658602743,"Zinc"
0.04,0.997717900466268,"Zinc"
0.05,0.997339943900197,"Zinc"
0.06,0.99696290887639,"Zinc"
0.07,0.996586987942018,"Zinc"
0.08,0.996212373644252,"Zinc"
0.09,0.99583925853026,"Zinc"
0.1,0.995467835147216,"Zinc"
0.11,0.995098296042288,"Zinc"
0.12,0.994730833762648,"Zinc"
0.13,0.994365640855467,"Zinc"
0.14,0.994002909867915,"Zinc"
0.15,0.993642833347163,"Zinc"
0.16,0.993285603840381,"Zinc"
0.17,0.992931413894741,"Zinc"
0.18,0.992580456057413,"Zinc"
0.19,0.992232922875567,"Zinc"
0.2,0.991889006896374,"Zinc"
0.21,0.991548900667006,"Zinc"
0.22,0.991212796734632,"Zinc"
0.23,0.990880887646423,"Zinc"
0.24,0.990553365949551,"Zinc"
0.25,0.990230424191185,"Zinc"
0.26,0.989912254918497,"Zinc"
0.27,0.989599050678656,"Zinc"
0.28,0.989291004018835,"Zinc"
0.29,0.988988307486203,"Zinc"
0.3,0.988691153627931,"Zinc"
0.31,0.98839973499119,"Zinc"
0.32,0.98811424412315,"Zinc"
0.33,0.987834873570983,"Zinc"
0.34,0.987561815881858,"Zinc"
0.35,0.987295263602947,"Zinc"
0.36,0.98703540928142,"Zinc"
0.37,0.986782445464448,"Zinc"
0.38,0.986536564699202,"Zinc"
0.39,0.986297959532852,"Zinc"
0.4,0.986066822512569,"Zinc"
0.41,0.985843346185524,"Zinc"
0.42,0.985627723098887,"Zinc"
0.43,0.985420145799828,"Zinc"
0.44,0.98522080683552,"Zinc"
0.45,0.985029898753132,"Zinc"
0.46,0.984847614099835,"Zinc"
0.47,0.9846741454228,"Zinc"
0.48,0.984509685269197,"Zinc"
0.49,0.984354426186198,"Zinc"
0.5,0.984208560720972,"Zinc"
0.51,0.984072281420691,"Zinc"
0.52,0.983945780832525,"Zinc"
0.53,0.983829251503644,"Zinc"
0.54,0.983722885981221,"Zinc"
0.55,0.983626876812424,"Zinc"
0.56,0.983541416544426,"Zinc"
0.57,0.983466697724396,"Zinc"
0.58,0.983402912899505,"Zinc"
0.59,0.983350254616924,"Zinc"
0.6,0.983308915423824,"Zinc"
0.61,0.983279087867375,"Zinc"
0.62,0.983260964494749,"Zinc"
0.63,0.983254737853114,"Zinc"
0.64,0.983260600489644,"Zinc"
0.65,0.983278744951507,"Zinc"
0.66,0.983309363785875,"Zinc"
0.67,0.983352649539919,"Zinc"
0.68,0.983408794760808,"Zinc"
0.69,0.983477991995714,"Zinc"
0.7,0.983560433791808,"Zinc"
0.71,0.98365631269626,"Zinc"
0.72,0.983765821256241,"Zinc"
0.73,0.983889152018922,"Zinc"
0.74,0.984026497531472,"Zinc"
0.75,0.984178050341064,"Zinc"
0.76,0.984344002994867,"Zinc"
0.77,0.984524548040052,"Zinc"
0.78,0.98471987802379,"Zinc"
0.79,0.984930185493252,"Zinc"
0.8,0.985155662995608,"Zinc"
0.81,0.98539650307803,"Zinc"
0.82,0.985652898287687,"Zinc"
0.83,0.98592504117175,"Zinc"
0.84,0.98621312427739,"Zinc"
0.85,0.986517340151778,"Zinc"
0.86,0.986837881342084,"Zinc"
0.87,0.98717494039548,"Zinc"
0.88,0.987528709859135,"Zinc"
0.89,0.987899382280221,"Zinc"
0.9,0.988287150205908,"Zinc"
0.91,0.988692206183367,"Zinc"
0.92,0.989114742759768,"Zinc"
0.93,0.989554952482283,"Zinc"
0.94,0.990013027898081,"Zinc"
0.95,0.990489161554334,"Zinc"
0.96,0.990983545998212,"Zinc"
0.97,0.991496373776886,"Zinc"
0.98,0.992027837437527,"Zinc"
0.99,0.992578129527305,"Zinc"
1,0.993147442593391,"Zinc"
1.01,0.993735969182956,"Zinc"
1.02,0.99434390184317,"Zinc"
1.03,0.994971433121204,"Zinc"
1.04,0.995618755564228,"Zinc"
1.05,0.996286061719415,"Zinc"
1.06,0.996973544133933,"Zinc"
1.07,0.997681395354954,"Zinc"
1.08,0.998409807929648,"Zinc"
1.09,0.999158974405187,"Zinc"
1.1,0.99992908732874,"Zinc"
1.11,1.00072033924748,"Zinc"
1.12,1.00153292270857,"Zinc"
1.13,1.0023670302592,"Zinc"
1.14,1.00322285444652,"Zinc"
1.15,1.0041005878177,"Zinc"
1.16,1.00500042291993,"Zinc"
1.17,1.00592255230037,"Zinc"
1.18,1.00686716850618,"Zinc"
1.19,1.00783446408455,"Zinc"
1.2,1.00882463158264,"Zinc"
1.21,1.00983786354762,"Zinc"
1.22,1.01087435252667,"Zinc"
1.23,1.01193429106694,"Zinc"
1.24,1.01301787171563,"Zinc"
1.25,1.01412528701988,"Zinc"
1.26,1.01525672952689,"Zinc"
1.27,1.01641239178381,"Zinc"
1.28,1.01759246633782,"Zinc"
1.29,1.01879714573608,"Zinc"
1.3,1.02002662252577,"Zinc"
1.31,1.0212810553416,"Zinc"
1.32,1.02256046716841,"Zinc"
1.33,1.02386484707858,"Zinc"
1.34,1.0251941841445,"Zinc"
1.35,1.02654846743855,"Zinc"
1.36,1.0279276860331,"Zinc"
1.37,1.02933182900055,"Zinc"
1.38,1.03076088541328,"Zinc"
1.39,1.03221484434366,"Zinc"
1.4,1.03369369486408,"Zinc"
1.41,1.03519742604692,"Zinc"
1.42,1.03672602696456,"Zinc"
1.43,1.03827948668939,"Zinc"
1.44,1.03985779429378,"Zinc"
1.45,1.04146093885013,"Zinc"
1.46,1.04308890943081,"Zinc"
1.47,1.0447416951082,"Zinc"
1.48,1.04641928495469,"Zinc"
1.49,1.04812166804266,"Zinc"
1.5,1.04984883344449,"Zinc"
1.51,1.05160077023256,"Zinc"
1.52,1.05337746747925,"Zinc"
1.53,1.05517891425696,"Zinc"
1.54,1.05700509963805,"Zinc"
1.55,1.05885601269492,"Zinc"
1.56,1.06073164249994,"Zinc"
1.57,1.06263197812549,"Zinc"
1.58,1.06455700864397,"Zinc"
1.59,1.06650672312774,"Zinc"
1.6,1.0684811106492,"Zinc"
1.61,1.07048016028072,"Zinc"
1.62,1.07250386109469,"Zinc"
1.63,1.07455220216349,"Zinc"
1.64,1.0766251725595,"Zinc"
1.65,1.0787227613551,"Zinc"
1.66,1.08084495762268,"Zinc"
1.67,1.08299175043462,"Zinc"
1.68,1.08516312886329,"Zinc"
1.69,1.08735908198109,"Zinc"
1.7,1.0895795988604,"Zinc"
1.71,1.09182466857359,"Zinc"
1.72,1.09409428019305,"Zinc"
1.73,1.09638842279116,"Zinc"
1.74,1.09870708544031,"Zinc"
1.75,1.10105025721287,"Zinc"
1.76,1.10341792718123,"Zinc"
1.77,1.10581008441777,"Zinc"
1.78,1.10822671799487,"Zinc"
1.79,1.11066781698491,"Zinc"
1.8,1.11313337046028,"Zinc"
1.81,1.11562336749336,"Zinc"
1.82,1.11813779715653,"Zinc"
1.83,1.12067664852218,"Zinc"
1.84,1.12323991066268,"Zinc"
1.85,1.12582757265041,"Zinc"
1.86,1.12843962355777,"Zinc"
1.87,1.13107605245713,"Zinc"
1.88,1.13373684842087,"Zinc"
1.89,1.13642200052138,"Zinc"
1.9,1.13913149783104,"Zinc"
1.91,1.14186532942223,"Zinc"
1.92,1.14462348436733,"Zinc"
1.93,1.14740595173872,"Zinc"
1.94,1.1502127206088,"Zinc"
1.95,1.15304378004993,"Zinc"
1.96,1.1558991191345,"Zinc"
1.97,1.1587787269349,"Zinc"
1.98,1.16168259252351,"Zinc"
1.99,1.1646107049727,"Zinc"
2,1.16756305335486,"Zinc"
2.01,1.17053963237873,"Zinc"
2.02,1.17354045929845,"Zinc"
2.03,1.17656555700453,"Zinc"
2.04,1.17961494838746,"Zinc"
2.05,1.18268865633774,"Zinc"
2.06,1.18578670374589,"Zinc"
2.07,1.18890911350239,"Zinc"
2.08,1.19205590849775,"Zinc"
2.09,1.19522711162247,"Zinc"
2.1,1.19842274576706,"Zinc"
2.11,1.201642833822,"Zinc"
2.12,1.20488739867781,"Zinc"
2.13,1.20815646322497,"Zinc"
2.14,1.21145005035401,"Zinc"
2.15,1.21476818295541,"Zinc"
2.16,1.21811088391967,"Zinc"
2.17,1.22147817613731,"Zinc"
2.18,1.22487008249881,"Zinc"
2.19,1.22828662589468,"Zinc"
2.2,1.23172782921542,"Zinc"
2.21,1.23519370737717,"Zinc"
2.22,1.23868424339864,"Zinc"
2.23,1.24219941232419,"Zinc"
2.24,1.24573918919816,"Zinc"
2.25,1.24930354906491,"Zinc"
2.26,1.25289246696879,"Zinc"
2.27,1.25650591795415,"Zinc"
2.28,1.26014387706534,"Zinc"
2.29,1.26380631934671,"Zinc"
2.3,1.26749321984262,"Zinc"
2.31,1.27120455359741,"Zinc"
2.32,1.27494029565544,"Zinc"
2.33,1.27870042106106,"Zinc"
2.34,1.28248490485862,"Zinc"
2.35,1.28629372209247,"Zinc"
2.36,1.29012684780697,"Zinc"
2.37,1.29398425704646,"Zinc"
2.38,1.29786592485529,"Zinc"
2.39,1.30177182627783,"Zinc"
2.4,1.30570193635842,"Zinc"
2.41,1.3096562301414,"Zinc"
2.42,1.31363468267114,"Zinc"
2.43,1.31763726899199,"Zinc"
2.44,1.32166396414829,"Zinc"
2.45,1.32571474318439,"Zinc"
2.46,1.32978958114466,"Zinc"
2.47,1.33388845307343,"Zinc"
2.48,1.33801133401507,"Zinc"
2.49,1.34215819901392,"Zinc"
2.5,1.34632902311434,"Zinc"
2.51,1.3505237704881,"Zinc"
2.52,1.35474236181669,"Zinc"
2.53,1.35898470690903,"Zinc"
2.54,1.36325071557402,"Zinc"
2.55,1.36754029762059,"Zinc"
2.56,1.37185336285764,"Zinc"
2.57,1.37618982109409,"Zinc"
2.58,1.38054958213886,"Zinc"
2.59,1.38493255580086,"Zinc"
2.6,1.389338651889,"Zinc"
2.61,1.39376778021219,"Zinc"
2.62,1.39821985057936,"Zinc"
2.63,1.40269477279941,"Zinc"
2.64,1.40719245668126,"Zinc"
2.65,1.41171281203382,"Zinc"
2.66,1.41625574866601,"Zinc"
2.67,1.42082117638675,"Zinc"
2.68,1.42540900500493,"Zinc"
2.69,1.43001914432949,"Zinc"
2.7,1.43465150416932,"Zinc"
2.71,1.43930597850118,"Zinc"
2.72,1.44398239797304,"Zinc"
2.73,1.44868057740073,"Zinc"
2.74,1.45340033160007,"Zinc"
2.75,1.45814147538688,"Zinc"
2.76,1.46290382357696,"Zinc"
2.77,1.46768719098613,"Zinc"
2.78,1.47249139243022,"Zinc"
2.79,1.47731624272503,"Zinc"
2.8,1.48216155668638,"Zinc"
2.81,1.4870271491301,"Zinc"
2.82,1.49191283487198,"Zinc"
2.83,1.49681842872787,"Zinc"
2.84,1.50174374551356,"Zinc"
2.85,1.50668860004487,"Zinc"
2.86,1.51165280713762,"Zinc"
2.87,1.51663618160763,"Zinc"
2.88,1.52163853827072,"Zinc"
2.89,1.52665969194269,"Zinc"
2.9,1.53169945743937,"Zinc"
2.91,1.53675764957657,"Zinc"
2.92,1.54183408317011,"Zinc"
2.93,1.5469285730358,"Zinc"
2.94,1.55204093398946,"Zinc"
2.95,1.55717098084691,"Zinc"
2.96,1.56231852842396,"Zinc"
2.97,1.56748339153643,"Zinc"
2.98,1.57266538500014,"Zinc"
2.99,1.5778643236309,"Zinc"
3,1.58308002224452,"Zinc"
3.01,1.58831229565683,"Zinc"
3.02,1.59356095868364,"Zinc"
3.03,1.59882582614077,"Zinc"
3.04,1.60410671284403,"Zinc"
3.05,1.60940343360923,"Zinc"
3.06,1.61471580325221,"Zinc"
3.07,1.62004363658876,"Zinc"
3.08,1.62538674843471,"Zinc"
3.09,1.63074495360588,"Zinc"
3.1,1.63611806691808,"Zinc"
3.11,1.64150590318712,"Zinc"
3.12,1.64690827722882,"Zinc"
