ENTRY	ACCESSION	OCEAN	OCEAN	TISSUE	BIRD	SAMPLE	MN	MN	FE	FE	CU	CU	ZN	ZN	AS	AS	MO	MO	CD	CD	HG	HG	PB	PB
NO.	ID	BASIN	REGION	TYPE	SPECIES	YEAR	CONCEN	RL	CONCEN	RL	CONCEN	RL	CONCEN	RL	CONCEN	RL	CONCEN	RL	CONCEN	RL	CONCEN	RL	CONCEN	RL
row_num	acession_id	basin	region	tissue_type	spp	year	Mn	Mn_rl	Fe	Fe_rl	Cu	Cu_rl	Zn	Zn_rl	As	As_rl	Mo	Mo_rl	Cd	Cd_rl	Hg	Hg_rl	Pb	Pb_rl
1	BFAL05062012NW1f	North Pacific	Hawaiian Islands	feather	BFAL	2012	--	1.7	135.1	6.6	3.6	1.7	142.9	3.3	--	1.7	--	1.7	--	1.7	2.5	1.7	1.3	1.7
2	BFAL05062012NW2f	North Pacific	Hawaiian Islands	feather	BFAL	2012	--	2.2	74.7	8.7	4.7	2.2	177.8	4.3	--	2.2	--	2.2	--	2.2	2.6	2.2	0.4	2.2
3	BFAL05122012NW3f	North Pacific	Hawaiian Islands	feather	BFAL	2012	--	1.6	45.6	6.2	2.4	1.6	157.5	3.1	--	1.6	--	1.6	--	1.6	1.8	1.6	0.4	1.6
4	BFAL05252012NW4f	North Pacific	Hawaiian Islands	feather	BFAL	2012	1.7	0.9	72.3	3.7	2.6	0.9	140	1.9	--	0.9	--	0.9	--	0.9	2.4	0.9	0.7	0.9
5	BFAL05252012NW5f	North Pacific	Hawaiian Islands	feather	BFAL	2012	2.2	1.5	96.2	5.9	2.8	1.5	150.3	3	--	1.5	--	1.5	--	1.5	2.7	1.5	0.4	1.5
6	BFAL06032012NW6f	North Pacific	Hawaiian Islands	feather	BFAL	2012	--	3.5	103.6	13.9	2.5	3.5	139.1	6.9	--	3.5	--	3.5	--	3.5	--	3.5	0.7	3.5
7	BFAL06142012NW7f	North Pacific	Hawaiian Islands	feather	BFAL	2012	--	0.9	128.1	3.6	2.9	0.9	145.4	1.8	--	0.9	--	0.9	--	0.9	2.2	0.9	0.7	0.9
8	BFAL06192012NW8f	North Pacific	Hawaiian Islands	feather	BFAL	2012	3	1	126.8	4	2.8	1	153.8	2	--	1	--	1	--	1	1.5	1	0.5	1
9	(multiple birds)	North Pacific	Hawaiian Islands	feather	BRBO	1891	0.8	0.5	32.3	2.1	5.2	0.5	190.3	1	2640.3	0.5	--	0.5	--	0.5	1116.3	0.5	21.4	0.5
10	(multiple birds)	North Pacific	Hawaiian Islands	feather	BRBO	1949	1.4	0.6	79.6	2.5	3.8	0.6	109.8	1.2	2975.3	0.6	--	0.6	--	0.6	23.5	0.6	8.6	0.6
11	(multiple birds)	North Pacific	Hawaiian Islands	feather	BRBO	1964	1.1	0.5	40.3	1.9	3.6	0.5	104.9	0.9	162.5	0.5	--	0.5	--	0.5	5.9	0.5	1.8	0.5
12	(multiple birds)	North Pacific	Hawaiian Islands	feather	BRBO	1999	1.6	0.4	37.9	1.7	3.8	0.4	95.7	0.9	24.8	0.4	--	0.4	--	0.4	5.3	0.4	1.4	0.4
13	BRBO03032014Hi1f	North Pacific	Hawaiian Islands	feather	BRBO	2014	3	1.2	136.7	4.9	48.6	1.2	110.2	2.4	--	1.2	--	1.2	--	1.2	--	1.2	--	1.2
14	BRBO01062014Hi2f	North Pacific	Hawaiian Islands	feather	BRBO	2014	1.5	0.8	112.1	3.1	2.4	0.8	120.3	1.5	--	0.8	--	0.8	--	0.8	1.9	0.8	--	0.8
15	BRBO01212015Hi1f	North Pacific	Hawaiian Islands	feather	BRBO	2015	1.6	0.8	263.4	3	7.6	0.8	64.6	1.5	--	0.8	--	0.8	--	0.8	--	0.8	--	0.8
16	(multiple birds)	North Pacific	Hawaiian Islands	feather	BRBO	2015	4.2	0.4	148.7	1.8	13.1	0.4	103.9	0.9	3.4	0.4	--	0.4	--	0.4	3.5	0.4	1.4	0.4
17	(multiple birds)	North Pacific	Hawaiian Islands	feather	BRNO	1894	1.2	0.5	35.8	2.1	10.1	0.5	158.3	1	11229.3	0.5	--	0.5	--	0.5	559.1	0.5	24.4	0.5
18	(multiple birds)	North Pacific	Hawaiian Islands	feather	BRNO	1939	2.3	0.5	83.6	2	4.6	0.5	139	1	23503.1	0.5	--	0.5	--	0.5	563.5	0.5	6	0.5
19	(multiple birds)	North Pacific	Hawaiian Islands	feather	BRNO	1966	2.1	0.4	62.2	1.7	6.3	0.4	143.2	0.8	883.3	0.4	--	0.4	0.6	0.4	35.2	0.4	17	0.4
20	(multiple birds)	North Pacific	Hawaiian Islands	feather	BRNO	1985	1.5	0.5	44.9	2.1	5	0.5	235.1	1	129.3	0.5	--	0.5	--	0.5	30.2	0.5	37.7	0.5
21	(multiple birds)	North Pacific	Hawaiian Islands	feather	BRNO	1996	0.6	0.6	36.4	2.2	2.8	0.6	145.8	1.1	42.4	0.6	--	0.6	--	0.6	22.8	0.6	3	0.6
22	(multiple birds)	North Pacific	Hawaiian Islands	feather	BUPE	1891	3.4	0.5	97	2.1	19.8	0.5	134	1.1	3169	0.5	--	0.5	--	0.5	1001.4	0.5	94.3	0.5
23	(multiple birds)	North Pacific	Hawaiian Islands	feather	BUPE	1914	45.6	0.5	913.3	2.2	32.9	0.5	360	1.1	2523.6	0.5	--	0.5	1.2	0.5	7594.3	0.5	268.4	0.5
