acession_id,region,tissue,spp,year,period,batch_no,vial_no,Mn,Mn_rl,Fe,Fe_rl,Cu,Cu_rl,Zn,Zn_rl,As,As_rl,Mo,Mo_rl,Cd,Cd_rl,Hg,Hg_rl,Pb,Pb_rl
BFAL05062012NW1f,Hawaiian Isl.,feather,BFAL,2012,4,1,6,--,1.7,135.1,6.6,3.6,1.7,142.9,3.3,--,1.7,--,1.7,--,1.7,2.5,1.7,1.3,1.7
BFAL05062012NW2f,Hawaiian Isl.,feather,BFAL,2012,4,1,7,--,2.2,74.7,8.7,4.7,2.2,177.8,4.3,--,2.2,--,2.2,--,2.2,2.6,2.2,0.4,2.2
BFAL05122012NW3f,Hawaiian Isl.,feather,BFAL,2012,4,1,8,--,1.6,45.6,6.2,2.4,1.6,157.5,3.1,--,1.6,--,1.6,--,1.6,1.8,1.6,0.4,1.6
BFAL05252012NW4f,Hawaiian Isl.,feather,BFAL,2012,4,1,9,1.7,0.9,72.3,3.7,2.6,0.9,140,1.9,--,0.9,--,0.9,--,0.9,2.4,0.9,0.7,0.9
BFAL05252012NW5f,Hawaiian Isl.,feather,BFAL,2012,4,1,10,2.2,1.5,96.2,5.9,2.8,1.5,150.3,3,--,1.5,--,1.5,--,1.5,2.7,1.5,0.4,1.5
BFAL06032012NW6f,Hawaiian Isl.,feather,BFAL,2012,4,1,11,--,3.5,103.6,13.9,2.5,3.5,139.1,6.9,--,3.5,--,3.5,--,3.5,--,3.5,0.7,3.5
BFAL06142012NW7f,Hawaiian Isl.,feather,BFAL,2012,4,1,17,--,0.9,128.1,3.6,2.9,0.9,145.4,1.8,--,0.9,--,0.9,--,0.9,2.2,0.9,0.7,0.9
BFAL06192012NW8f,Hawaiian Isl.,feather,BFAL,2012,4,1,18,3,1,126.8,4,2.8,1,153.8,2,--,1,--,1,--,1,1.5,1,0.5,1
(multiple birds),Hawaiian Isl.,feather,BRBO,1891,2,2,5,0.8,0.5,32.3,2.1,5.2,0.5,190.3,1,2640.3,0.5,--,0.5,--,0.5,1116.3,0.5,21.4,0.5
(multiple birds),Hawaiian Isl.,feather,BRBO,1949,2,2,6,1.4,0.6,79.6,2.5,3.8,0.6,109.8,1.2,2975.3,0.6,--,0.6,--,0.6,23.5,0.6,8.6,0.6
(multiple birds),Hawaiian Isl.,feather,BRBO,1964,3,2,7,1.1,0.5,40.3,1.9,3.6,0.5,104.9,0.9,162.5,0.5,--,0.5,--,0.5,5.9,0.5,1.8,0.5
(multiple birds),Hawaiian Isl.,feather,BRBO,1999,3,2,8,1.6,0.4,37.9,1.7,3.8,0.4,95.7,0.9,24.8,0.4,--,0.4,--,0.4,5.3,0.4,1.4,0.4
BRBO03032014Hi1f,Hawaiian Isl.,feather,BRBO,2014,4,1,64,3,1.2,136.7,4.9,48.6,1.2,110.2,2.4,--,1.2,--,1.2,--,1.2,--,1.2,--,1.2
BRBO01062014Hi2f,Hawaiian Isl.,feather,BRBO,2014,4,1,66,1.5,0.8,112.1,3.1,2.4,0.8,120.3,1.5,--,0.8,--,0.8,--,0.8,1.9,0.8,--,0.8
BRBO01212015Hi1f,Hawaiian Isl.,feather,BRBO,2015,4,1,68,1.6,0.8,263.4,3,7.6,0.8,64.6,1.5,--,0.8,--,0.8,--,0.8,--,0.8,--,0.8
(multiple birds),Hawaiian Isl.,feather,BRBO,2015,4,2,9,4.2,0.4,148.7,1.8,13.1,0.4,103.9,0.9,3.4,0.4,--,0.4,--,0.4,3.5,0.4,1.4,0.4
(multiple birds),Hawaiian Isl.,feather,BRNO,1894,1,2,28,1.2,0.5,35.8,2.1,10.1,0.5,158.3,1,11229.3,0.5,--,0.5,--,0.5,559.1,0.5,24.4,0.5
(multiple birds),Hawaiian Isl.,feather,BRNO,1939,2,2,29,2.3,0.5,83.6,2,4.6,0.5,139,1,23503.1,0.5,--,0.5,--,0.5,563.5,0.5,6,0.5
(multiple birds),Hawaiian Isl.,feather,BRNO,1966,3,2,30,2.1,0.4,62.2,1.7,6.3,0.4,143.2,0.8,883.3,0.4,--,0.4,0.6,0.4,35.2,0.4,17,0.4
(multiple birds),Hawaiian Isl.,feather,BRNO,1985,3,2,31,1.5,0.5,44.9,2.1,5,0.5,235.1,1,129.3,0.5,--,0.5,--,0.5,30.2,0.5,37.7,0.5
(multiple birds),Hawaiian Isl.,feather,BRNO,1996,3,2,32,0.6,0.6,36.4,2.2,2.8,0.6,145.8,1.1,42.4,0.6,--,0.6,--,0.6,22.8,0.6,3,0.6
(multiple birds),Hawaiian Isl.,feather,BUPE,1891,1,2,23,3.4,0.5,97,2.1,19.8,0.5,134,1.1,3169,0.5,--,0.5,--,0.5,1001.4,0.5,94.3,0.5
(multiple birds),Hawaiian Isl.,feather,BUPE,1914,2,2,24,45.6,0.5,913.3,2.2,32.9,0.5,360,1.1,2523.6,0.5,--,0.5,1.2,0.5,7594.3,0.5,268.4,0.5
(multiple birds),Hawaiian Isl.,feather,BUPE,1936,2,2,25,7.8,0.5,515.5,2.2,16.7,0.5,150.5,1.1,22949.5,0.5,--,0.5,0.6,0.5,197.9,0.5,44.7,0.5
