"","year","spp","metal","corrected_conc","source"
"1",1891,"BRBO","Arsenic",NA,"gain"
"2",1892,"BRBO","Arsenic",NA,"gain"
"3",1893,"BRBO","Arsenic",NA,"gain"
"4",1894,"BRBO","Arsenic",NA,"gain"
"5",1895,"BRBO","Arsenic",NA,"gain"
"6",1896,"BRBO","Arsenic",NA,"gain"
"7",1897,"BRBO","Arsenic",NA,"gain"
"8",1898,"BRBO","Arsenic",NA,"gain"
"9",1899,"BRBO","Arsenic",NA,"gain"
"10",1900,"BRBO","Arsenic",NA,"gain"
"11",1901,"BRBO","Arsenic",NA,"gain"
"12",1902,"BRBO","Arsenic",NA,"gain"
"13",1903,"BRBO","Arsenic",NA,"gain"
"14",1904,"BRBO","Arsenic",NA,"gain"
"15",1905,"BRBO","Arsenic",NA,"gain"
"16",1906,"BRBO","Arsenic",NA,"gain"
"17",1907,"BRBO","Arsenic",NA,"gain"
"18",1908,"BRBO","Arsenic",NA,"gain"
"19",1909,"BRBO","Arsenic",NA,"gain"
"20",1910,"BRBO","Arsenic",NA,"gain"
"21",1911,"BRBO","Arsenic",NA,"gain"
"22",1912,"BRBO","Arsenic",NA,"gain"
"23",1913,"BRBO","Arsenic",NA,"gain"
"24",1914,"BRBO","Arsenic",NA,"gain"
"25",1915,"BRBO","Arsenic",NA,"gain"
"26",1916,"BRBO","Arsenic",NA,"gain"
"27",1917,"BRBO","Arsenic",NA,"gain"
"28",1918,"BRBO","Arsenic",NA,"gain"
"29",1919,"BRBO","Arsenic",NA,"gain"
"30",1920,"BRBO","Arsenic",NA,"gain"
"31",1921,"BRBO","Arsenic",NA,"gain"
"32",1922,"BRBO","Arsenic",NA,"gain"
"33",1923,"BRBO","Arsenic",NA,"gain"
"34",1924,"BRBO","Arsenic",NA,"gain"
"35",1925,"BRBO","Arsenic",NA,"gain"
"36",1926,"BRBO","Arsenic",NA,"gain"
"37",1927,"BRBO","Arsenic",NA,"gain"
"38",1928,"BRBO","Arsenic",NA,"gain"
"39",1929,"BRBO","Arsenic",NA,"gain"
"40",1930,"BRBO","Arsenic",NA,"gain"
"41",1931,"BRBO","Arsenic",NA,"gain"
"42",1932,"BRBO","Arsenic",NA,"gain"
"43",1933,"BRBO","Arsenic",NA,"gain"
"44",1934,"BRBO","Arsenic",NA,"gain"
"45",1935,"BRBO","Arsenic",NA,"gain"
"46",1936,"BRBO","Arsenic",NA,"gain"
"47",1937,"BRBO","Arsenic",NA,"gain"
"48",1938,"BRBO","Arsenic",NA,"gain"
"49",1939,"BRBO","Arsenic",NA,"gain"
"50",1940,"BRBO","Arsenic",NA,"gain"
"51",1941,"BRBO","Arsenic",NA,"gain"
"52",1942,"BRBO","Arsenic",NA,"gain"
"53",1943,"BRBO","Arsenic",NA,"gain"
"54",1944,"BRBO","Arsenic",NA,"gain"
"55",1945,"BRBO","Arsenic",NA,"gain"
"56",1946,"BRBO","Arsenic",NA,"gain"
"57",1947,"BRBO","Arsenic",NA,"gain"
"58",1948,"BRBO","Arsenic",NA,"gain"
"59",1949,"BRBO","Arsenic",NA,"gain"
"60",1950,"BRBO","Arsenic",NA,"gain"
"61",1951,"BRBO","Arsenic",NA,"gain"
"62",1952,"BRBO","Arsenic",NA,"gain"
"63",1953,"BRBO","Arsenic",NA,"gain"
"64",1954,"BRBO","Arsenic",NA,"gain"
"65",1955,"BRBO","Arsenic",NA,"gain"
"66",1956,"BRBO","Arsenic",NA,"gain"
"67",1957,"BRBO","Arsenic",NA,"gain"
"68",1958,"BRBO","Arsenic",NA,"gain"
"69",1959,"BRBO","Arsenic",NA,"gain"
"70",1960,"BRBO","Arsenic",NA,"gain"
"71",1961,"BRBO","Arsenic",NA,"gain"
"72",1962,"BRBO","Arsenic",NA,"gain"
"73",1963,"BRBO","Arsenic",NA,"gain"
"74",1964,"BRBO","Arsenic",NA,"gain"
"75",1965,"BRBO","Arsenic",NA,"gain"
"76",1966,"BRBO","Arsenic",NA,"gain"
"77",1967,"BRBO","Arsenic",NA,"gain"
"78",1968,"BRBO","Arsenic",NA,"gain"
"79",1969,"BRBO","Arsenic",NA,"gain"
"80",1970,"BRBO","Arsenic",NA,"gain"
"81",1971,"BRBO","Arsenic",NA,"gain"
"82",1972,"BRBO","Arsenic",NA,"gain"
"83",1973,"BRBO","Arsenic",NA,"gain"
"84",1974,"BRBO","Arsenic",NA,"gain"
"85",1975,"BRBO","Arsenic",NA,"gain"
"86",1976,"BRBO","Arsenic",NA,"gain"
"87",1977,"BRBO","Arsenic",NA,"gain"
"88",1978,"BRBO","Arsenic",NA,"gain"
"89",1979,"BRBO","Arsenic",NA,"gain"
"90",1980,"BRBO","Arsenic",NA,"gain"
"91",1981,"BRBO","Arsenic",NA,"gain"
"92",1982,"BRBO","Arsenic",NA,"gain"
"93",1983,"BRBO","Arsenic",NA,"gain"
"94",1984,"BRBO","Arsenic",NA,"gain"
"95",1985,"BRBO","Arsenic",NA,"gain"
"96",1986,"BRBO","Arsenic",NA,"gain"
"97",1987,"BRBO","Arsenic",NA,"gain"
"98",1988,"BRBO","Arsenic",NA,"gain"
"99",1989,"BRBO","Arsenic",NA,"gain"
"100",1990,"BRBO","Arsenic",NA,"gain"
"101",1991,"BRBO","Arsenic",NA,"gain"
"102",1992,"BRBO","Arsenic",NA,"gain"
"103",1993,"BRBO","Arsenic",NA,"gain"
"104",1994,"BRBO","Arsenic",NA,"gain"
"105",1995,"BRBO","Arsenic",NA,"gain"
"106",1996,"BRBO","Arsenic",NA,"gain"
"107",1997,"BRBO","Arsenic",NA,"gain"
"108",1998,"BRBO","Arsenic",NA,"gain"
"109",1999,"BRBO","Arsenic",11.4545457395672,"gain"
"110",2000,"BRBO","Arsenic",10.7063052517406,"gain"
"111",2001,"BRBO","Arsenic",9.93711753100456,"gain"
"112",2002,"BRBO","Arsenic",9.19045100038176,"gain"
"113",2003,"BRBO","Arsenic",8.44378446975897,"gain"
"114",2004,"BRBO","Arsenic",7.68109087001252,"gain"
"115",2005,"BRBO","Arsenic",6.93597906106519,"gain"
"116",2006,"BRBO","Arsenic",6.17810929986942,"gain"
